ticket_id,ticket_text,issue_type,urgency_level,product,clean_text
194,Order #86969 for FitRun Treadmill is 16 days late. Ordered on 04 May.,,Low,FitRun Treadmill,order 86969 fitrun treadmill 16 day late order 04 may
195,"Payment issue fr mi PhotoSnap Cam. I was not refunded fr order #55921. Also, I contacted support on 09 March but got no response.",Billing Problem,Low,PhotoSnap Cam,pay issue fr mi photosnap cam i refund fr order 55921 also i contact support 09 march but got no response
196,Vision LED TV is late. It stopped working after just 7 days.,,High,Vision LED TV,vision led tv late stopp work after just 7 day
197,"Not able to install my product. Also, I contacted support on 09 March but got no response.",Installation Issue,Medium,PowerMax Battery,able install my product also i contact support 09 march but got no response
198,I ordered SmartWatch V2 but got SmartWatch V2 instead. My order number is #52790.,,Medium,SmartWatch V2,i order smartwatch v2 but got smartwatch v2 instead my order number 52790
199,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PhotoSnap Cam,cant log my account keep show unknown issue help
200,"I ordered UltraClean Vacuum but got UltraClean Vacuum instead. My order number is #31416. Also, I contacted support on 02 April but got no response.",Wrong Item,High,UltraClean Vacuum,i order ultraclean vacuum but got ultraclean vacuum instead my order number 31416 also i contact support 02 april but got no response
201,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in red?",General Inquiry,Medium,SmartWatch V2,can you tell me more about smartwatch v2 warranty also available red
202,Facing installation issue with . Setup fails at step 3.,Installation Issue,Medium,SmartWatch V2,fac installation issue setup fail step 3
203,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,PhotoSnap Cam,cant log my account keep show reset requir help
204,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in blue?",General Inquiry,Medium,FitRun Treadmill,can you tell me more about fitrun treadmill warranty also available blue
205,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue? Also, I contacted support on 29 March but got no response.",General Inquiry,High,Vision LED TV,can you tell me more about vision led tv warranty also available blue also i contact support 29 march but got no response
206,Facing installation issue with RoboChef Blender. Setup fails at step 5.,Installation Issue,Low,RoboChef Blender,fac installation issue robochef blender setup fail step 5
207,"Can't log in to my account. Keeps showing reset required. Help! Also, I contacted support on 04 May but got no response. Delivery expected by 04 May.",Account Access,Medium,RoboChef Blender,cant log my account keep show reset requir help also i contact support 04 may but got no response delivery expect 04 may
208,UltraClean Vacuum is defective. It stopped working after just 1 days.,Product Defect,Low,UltraClean Vacuum,ultraclean vacuum defect stopp work after just 1 day
209,Order #46182 for EcoBreeze AC is 9 days late. Ordered on 19 May.,Late Delivery,Low,EcoBreeze AC,order 46182 ecobreeze ac 9 day late order 19 may
210,Facing installation issue with SmartWatch V2. Setup fails at step 1.,Installation Issue,Low,SmartWatch V2,fac installation issue smartwatch v2 setup fail step 1
211,I ordered  but got SoundWave 300 instead. My order number is #23976.,Wrong Item,High,EcoBreeze AC,i order but got soundwave 300 instead my order number 23976
212,,Product Defect,Medium,SmartWatch V2,nan
213,Payment issue for my Vision LED TV. I was debited incorrectly for order #39849.,Billing Problem,Low,Vision LED TV,pay issue my vision led tv i debit incorrect order 39849
214,Payment problem fr order #94367. Need urgent help.,Billing Problem,Low,SoundWave 300,pay problem fr order 94367 need urgent help
215,Order #26115 for  is 4 days late. Ordered on 24 April.,Late Delivery,Low,ProTab X1,order 26115 4 day late order 24 april
216,I ordered  but got PowerMax Battery instead. My order number is #90318.,Wrong Item,High,SmartWatch V2,i order but got powermax battery instead my order number 90318
217,Payment issue for my SmartWatch V2. I was underbilled for order #44795.,Billing Problem,Medium,SmartWatch V2,pay issue my smartwatch v2 i underbill order 44795
218,Facing installation issue with UltraClean Vacuum. Setup fails at step 3.,Installation Issue,Low,UltraClean Vacuum,fac installation issue ultraclean vacuum setup fail step 3
219,"Facing installation issue with . Setup fails at step 2. Also, I contacted support on 19 March but got no response.",Installation Issue,Low,PowerMax Battery,fac installation issue setup fail step 2 also i contact support 19 march but got no response
220,Not able to install my product.,Installation Issue,High,SmartWatch V2,able install my product
221,Facing installation issue with RoboChef Blender. Setup fails at step 1.,Installation Issue,Medium,RoboChef Blender,fac installation issue robochef blender setup fail step 1
222,"Payment issue for my PowerMax Battery. I was not refunded for order #68783. Also, I contacted support on 13 March but got no response.",Billing Problem,Low,PowerMax Battery,pay issue my powermax battery i refund order 68783 also i contact support 13 march but got no response
223,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red?",General Inquiry,,PhotoSnap Cam,can you tell me more about photosnap cam warranty also available red
224,,Installation Issue,Medium,PowerMax Battery,nan
225,"Can you tell me more about the  warranty? Also, is it available in red?",General Inquiry,Medium,ProTab X1,can you tell me more about warranty also available red
226,Facing installation issue with SoundWave 300. Setup fails at step 1.,Installation Issue,Medium,SoundWave 300,fac installation issue soundwave 300 setup fail step 1
227,Not able to install my product. Delivery expected by 26 March.,Installation Issue,Low,PhotoSnap Cam,able install my product delivery expect 26 march
228,SoundWave 300 is late. It stopped working after just 12 days.,Product Defect,,SoundWave 300,soundwave 300 late stopp work after just 12 day
229,Payment issue for my PowerMax Battery. I was overbilled for order #61694.,Billing Problem,Medium,PowerMax Battery,pay issue my powermax battery i overbill order 61694
230,Order #98576 for PowerMax Battery is 3 days late. Ordered on 06 May.,Late Delivery,Medium,PowerMax Battery,order 98576 powermax battery 3 day late order 06 may
231,Payment issue for my . I was charged twice for order #70857.,Billing Problem,High,PhotoSnap Cam,pay issue my i charg twice order 70857
232,"Both my UltraClean Vacuum and ProTab X1 are lost. Both giving issues. Also, I contacted support on 24 March but got no response.",Product Defect,High,UltraClean Vacuum,both my ultraclean vacuum protab x1 lost both giv issu also i contact support 24 march but got no response
233,Payment issue for my . I was overbilled for order #41191.,Billing Problem,Medium,UltraClean Vacuum,pay issue my i overbill order 41191
234,EcoBreeze AC is not received. It stopped working after just 4 days.,Product Defect,Medium,EcoBreeze AC,ecobreeze ac receiv stopp work after just 4 day
235,Can't log in to my account. Keeps showing error. Help!,Account Access,Low,FitRun Treadmill,cant log my account keep show error help
236,Order #61028 for PhotoSnap Cam is 6 days late. Ordered on 08 March.,Late Delivery,,PhotoSnap Cam,order 61028 photosnap cam 6 day late order 08 march
237,"PowerMax Battery is glitchy. It stopped working after just 10 days. Also, I contacted support on 14 May but got no response.",Product Defect,High,PowerMax Battery,powermax battery glitchy stopp work after just 10 day also i contact support 14 may but got no response
238,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,Low,ProTab X1,can you tell me more about protab x1 warranty also available blue
239," is defective. It stopped working after just 2 days. Also, I contacted support on 11 March but got no response.",Product Defect,Medium,ProTab X1,defect stopp work after just 2 day also i contact support 11 march but got no response
240,"Can't log in to my account. Keeps showing captcha failed. Help! Also, I contacted support on 15 March but got no response. Delivery expected by 15 March.",Account Access,Low,Vision LED TV,cant log my account keep show captcha fail help also i contact support 15 march but got no response delivery expect 15 march
241,I ordered RoboChef Blender but got UltraClean Vacuum instead. My order number is #75624.,Wrong Item,Low,RoboChef Blender,i order robochef blender but got ultraclean vacuum instead my order number 75624
242,"Can't log in to my account. Keeps showing error. Help! Also, I contacted support on 13 April but got no response. Delivery expected by 13 April.",Account Access,Low,RoboChef Blender,cant log my account keep show error help also i contact support 13 april but got no response delivery expect 13 april
243,Facing installation issue with EcoBreeze AC. Setup fails at step 6.,Installation Issue,High,EcoBreeze AC,fac installation issue ecobreeze ac setup fail step 6
244,Order #99210 for FitRun Treadmill is 11 days late. Ordered on 30 March.,Late Delivery,Medium,FitRun Treadmill,order 99210 fitrun treadmill 11 day late order 30 march
245,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Low,ProTab X1,cant log my account keep show reset requir help
246,FitRun Treadmill is no response. It stopped working after just 3 days.,Product Defect,Medium,FitRun Treadmill,fitrun treadmill no response stopp work after just 3 day
247,"Can't access my account. Also, I contacted support on 28 April but got no response. Delivery expected by 28 April.",Account Access,High,ProTab X1,cant acces my account also i contact support 28 april but got no response delivery expect 28 april
248," is malfunction. It stopped working after just 3 days. Also, I contacted support on 12 March but got no response.",Product Defect,High,UltraClean Vacuum,malfunction stopp work after just 3 day also i contact support 12 march but got no response
249,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,High,FitRun Treadmill,can you tell me more about warranty also available black
250,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Low,ProTab X1,cant log my account keep show block help
251,"Can you tell me more about the SoundWave 300 warranty? Also, is it available in white?",General Inquiry,High,SoundWave 300,can you tell me more about soundwave 300 warranty also available white
252,EcoBreeze AC is damaged. It stopped working after just 11 days.,Product Defect,Medium,EcoBreeze AC,ecobreeze ac damag stopp work after just 11 day
253,,Wrong Item,Medium,EcoBreeze AC,nan
254,Facing installation issue with FitRun Treadmill. Setup fails at step 5.,Installation Issue,Medium,FitRun Treadmill,fac installation issue fitrun treadmill setup fail step 5
255,ProTab X1 is damaged. It stopped working after just 7 days.,Product Defect,High,ProTab X1,protab x1 damag stopp work after just 7 day
256,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,PowerMax Battery,cant log my account keep show reset requir help
257,Payment issue for my SmartWatch V2. I was underbilled for order #91931.,Billing Problem,Medium,SmartWatch V2,pay issue my smartwatch v2 i underbill order 91931
258,Order #55349 placed on 10 March still not here.,Late Delivery,Low,Vision LED TV,order 55349 plac 10 march still here
259,Can't log in to my account. Keeps showing blocked. Help!,Account Access,High,EcoBreeze AC,cant log my account keep show block help
260,"Facing installation issue with PowerMax Battery. Setup fails at step 3. Also, I contacted support on 15 April but got no response.",Installation Issue,High,PowerMax Battery,fac installation issue powermax battery setup fail step 3 also i contact support 15 april but got no response
261,Can't log in to my account. Keeps showing error. Help!,Account Access,High,Vision LED TV,cant log my account keep show error help
262,Facing installation issue with PowerMax Battery. Setup fails at step 4.,Installation Issue,Medium,PowerMax Battery,fac installation issue powermax battery setup fail step 4
263,Payment issue for my FitRun Treadmill. I was charged twice for order #99357.,Billing Problem,,FitRun Treadmill,pay issue my fitrun treadmill i charg twice order 99357
264,"EcoBreeze AC is missing. It stopped working after just 6 days. Also, I contacted support on 13 March but got no response.",Product Defect,Medium,EcoBreeze AC,ecobreeze ac miss stopp work after just 6 day also i contact support 13 march but got no response
265,Payment issue for my SoundWave 300. I was overbilled for order #26278.,Billing Problem,High,SoundWave 300,pay issue my soundwave 300 i overbill order 26278
266,Payment issue for my . I was underbilled for order #75981.,Billing Problem,Medium,Vision LED TV,pay issue my i underbill order 75981
267,Facing installation issue wit EcoBreeze AC. Setup fails at step 3.,Installation Issue,Low,EcoBreeze AC,fac installation issue wit ecobreeze ac setup fail step 3
268," is glitchy. It stopped working after just 11 days. Also, I contacted support on 07 March but got no response.",Product Defect,Low,SmartWatch V2,glitchy stopp work after just 11 day also i contact support 07 march but got no response
269,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,SoundWave 300,cant log my account keep show captcha fail help
270,I ordered ProTab X1 but got PowerMax Battery instead. My order number is #96264.,Wrong Item,Medium,ProTab X1,i order protab x1 but got powermax battery instead my order number 96264
271,Can't log in to my account. Keeps showing error. Help!,Account Access,Medium,SmartWatch V2,cant log my account keep show error help
272,Vision LED TV is not received. It stopped working after just 10 days.,Product Defect,Medium,Vision LED TV,vision led tv receiv stopp work after just 10 day
273,I ordered  but got SmartWatch V2 instead. My order number is #19513.,Wrong Item,High,FitRun Treadmill,i order but got smartwatch v2 instead my order number 19513
274,Payment issue for my SmartWatch V2. I was underbilled for order #56445. Delivery expected by 18 March.,Billing Problem,Medium,SmartWatch V2,pay issue my smartwatch v2 i underbill order 56445 delivery expect 18 march
275,I ordered PhotoSnap Cam but got UltraClean Vacuum instead. My order number is #77017. Delivery expected by 28 April.,Wrong Item,Low,PhotoSnap Cam,i order photosnap cam but got ultraclean vacuum instead my order number 77017 delivery expect 28 april
276,Account problem. Assistance needed.,,Low,SmartWatch V2,account problem assistance need
277,Can't log in to mi account. Keeps showing captcha failed. Help!,Account Access,High,SmartWatch V2,cant log mi account keep show captcha fail help
278,Login not working.,,Low,Vision LED TV,login work
279,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white?",General Inquiry,High,RoboChef Blender,can you tell me more about robochef blender warranty also available white
280,Both my ProTab X1 and EcoBreeze AC are late. Both giving issues.,Product Defect,Low,ProTab X1,both my protab x1 ecobreeze ac late both giv issu
281,,Billing Problem,Medium,ProTab X1,nan
282,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,Low,SmartWatch V2,cant log my account keep show unknown issue help
283,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white?",General Inquiry,Low,RoboChef Blender,can you tell me more about robochef blender warranty also available white
284,Facing installation issue with Vision LED TV. Setup fails at step 1.,Installation Issue,High,Vision LED TV,fac installation issue vision led tv setup fail step 1
285,I ordered EcoBreeze AC but got PowerMax Battery instead. My order number is #69733.,Wrong Item,Low,EcoBreeze AC,i order ecobreeze ac but got powermax battery instead my order number 69733
286,Facing installation issue with RoboChef Blender. Setup fails at step 6. Delivery expected by 29 April.,Installation Issue,High,RoboChef Blender,fac installation issue robochef blender setup fail step 6 delivery expect 29 april
287,Payment issue for my PhotoSnap Cam. I was charged twice for order #85816.,Billing Problem,High,PhotoSnap Cam,pay issue my photosnap cam i charg twice order 85816
288,Facing installation issue wit RoboChef Blender. Setup fails at step 6.,Installation Issue,Medium,RoboChef Blender,fac installation issue wit robochef blender setup fail step 6
289,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in blue?",General Inquiry,Low,SmartWatch V2,can you tell me more about smartwatch v2 warranty also available blue
290,Can't log in to my account. Keeps showing unknown issue. Help! Delivery expected by 22 April.,Account Access,High,EcoBreeze AC,cant log my account keep show unknown issue help delivery expect 22 april
291,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,PhotoSnap Cam,cant log my account keep show captcha fail help
292,UltraClean Vacuum is damaged. It stopped working after just 9 days.,Product Defect,High,UltraClean Vacuum,ultraclean vacuum damag stopp work after just 9 day
293,"Can you tell me more about the  warranty? Also, is it available in blue?",General Inquiry,Medium,EcoBreeze AC,can you tell me more about warranty also available blue
294,,Wrong Item,Low,UltraClean Vacuum,nan
295,I ordered ProTab X1 but got EcoBreeze AC instead. My order number is #26906.,Wrong Item,Medium,ProTab X1,i order protab x1 but got ecobreeze ac instead my order number 26906
296,Order #21993 placed on 21 March still not here.,Late Delivery,Medium,FitRun Treadmill,order 21993 plac 21 march still here
297,Facing installation issue with UltraClean Vacuum. Setup fails at step 3.,Installation Issue,Medium,UltraClean Vacuum,fac installation issue ultraclean vacuum setup fail step 3
298,,Late Delivery,High,RoboChef Blender,nan
299,I ordered ProTab X1 but got RoboChef Blender instead. My order number is #56658.,Wrong Item,Medium,ProTab X1,i order protab x1 but got robochef blender instead my order number 56658
300,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,FitRun Treadmill,cant log my account keep show captcha fail help
301,"Can you tell me more about teh UltraClean Vacuum warranty? Also, is it available in black?",General Inquiry,Medium,UltraClean Vacuum,can you tell me more about teh ultraclean vacuum warranty also available black
302,Payment issue for my SmartWatch V2. I was underbilled for order #54150.,Billing Problem,Low,SmartWatch V2,pay issue my smartwatch v2 i underbill order 54150
303,Want to know more about warranty.,General Inquiry,Medium,Vision LED TV,want know more about warranty
304,Facing installation issue with FitRun Treadmill. Setup fails at step 4.,Installation Issue,High,FitRun Treadmill,fac installation issue fitrun treadmill setup fail step 4
305,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white?",General Inquiry,Medium,FitRun Treadmill,can you tell me more about fitrun treadmill warranty also available white
306,Payment issue for my PhotoSnap Cam. I was debited incorrectly for order #97137.,Billing Problem,Low,PhotoSnap Cam,pay issue my photosnap cam i debit incorrect order 97137
307,,Installation Issue,,PowerMax Battery,nan
308,"Can you tell me more about teh Vision LED TV warranty? Also, is it available in red?",,Medium,Vision LED TV,can you tell me more about teh vision led tv warranty also available red
309,Order #92183 fr FitRun Treadmill is 11 days late. Ordered on 01 April. Delivery expected by 01 April.,Late Delivery,Low,FitRun Treadmill,order 92183 fr fitrun treadmill 11 day late order 01 april delivery expect 01 april
310,"Is this item in stock? Also, I contacted support on 11 April but got no response.",General Inquiry,High,RoboChef Blender,item stock also i contact support 11 april but got no response
311,Payment issue for my SoundWave 300. I was not refunded for order #10599.,Billing Problem,High,SoundWave 300,pay issue my soundwave 300 i refund order 10599
312,I ordered PowerMax Battery but got EcoBreeze AC instead. My order number is #28999.,Wrong Item,Low,PowerMax Battery,i order powermax battery but got ecobreeze ac instead my order number 28999
313,Not able to install my product.,Installation Issue,Medium,UltraClean Vacuum,able install my product
314,Vision LED TV is error. It stopped working after just 5 days.,,High,Vision LED TV,vision led tv error stopp work after just 5 day
315,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white?",General Inquiry,Medium,RoboChef Blender,can you tell me more about robochef blender warranty also available white
316,Can't log in to my account. Keeps showing error. Help!,Account Access,Medium,RoboChef Blender,cant log my account keep show error help
317,Order #78448 placed on 05 April still not here.,Late Delivery,Medium,FitRun Treadmill,order 78448 plac 05 april still here
318,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in blue?",General Inquiry,High,PowerMax Battery,can you tell me more about powermax battery warranty also available blue
319,"Payment issue for my SmartWatch V2. I was charged twice for order #25854. Also, I contacted support on 27 April but got no response.",Billing Problem,Medium,SmartWatch V2,pay issue my smartwatch v2 i charg twice order 25854 also i contact support 27 april but got no response
320,,General Inquiry,Medium,SoundWave 300,nan
321,Facing installation issue with SoundWave 300. Setup fails at step 3.,Installation Issue,Medium,SoundWave 300,fac installation issue soundwave 300 setup fail step 3
322,Payment issue for my UltraClean Vacuum. I was charged twice for order #93599.,Billing Problem,Medium,UltraClean Vacuum,pay issue my ultraclean vacuum i charg twice order 93599
323,Payment issue fr mi PowerMax Battery. I was debited incorrectly fr order #39568.,Billing Problem,Medium,PowerMax Battery,pay issue fr mi powermax battery i debit incorrect fr order 39568
324,Payment issue for my PhotoSnap Cam. I was underbilled for order #45573.,Billing Problem,Low,PhotoSnap Cam,pay issue my photosnap cam i underbill order 45573
325,FitRun Treadmill is missing. It stopped working after just 5 days.,Product Defect,High,FitRun Treadmill,fitrun treadmill miss stopp work after just 5 day
326, is damaged. It stopped working after just 2 days.,Product Defect,Medium,SoundWave 300,damag stopp work after just 2 day
327,Facing installation issue with ProTab X1. Setup fails at step 4.,Installation Issue,Low,ProTab X1,fac installation issue protab x1 setup fail step 4
328,Payment issue for my ProTab X1. I was charged twice for order #10170.,Billing Problem,High,ProTab X1,pay issue my protab x1 i charg twice order 10170
329, is error. It stopped working after just 10 days. Delivery expected by 14 April.,Product Defect,Low,PowerMax Battery,error stopp work after just 10 day delivery expect 14 april
330, is late. It stopped working after just 9 days.,Product Defect,Low,PhotoSnap Cam,late stopp work after just 9 day
331,Order #60087 for PowerMax Battery is 16 days late. Ordered on 14 March.,,Low,PowerMax Battery,order 60087 powermax battery 16 day late order 14 march
332,Payment issue for my UltraClean Vacuum. I was charged twice for order #23052.,Billing Problem,,UltraClean Vacuum,pay issue my ultraclean vacuum i charg twice order 23052
333,Can't log in to my account. Keeps showing blocked. Help!,Account Access,High,EcoBreeze AC,cant log my account keep show block help
334,Can't log in to my account. Keeps showing error. Help! Delivery expected by 18 April.,Account Access,Low,FitRun Treadmill,cant log my account keep show error help delivery expect 18 april
335,"Can you tell me more about the Vision LED TV warranty? Also, is it available in black? Also, I contacted support on 11 May but got no response.",General Inquiry,Medium,Vision LED TV,can you tell me more about vision led tv warranty also available black also i contact support 11 may but got no response
336,Order #27254 for PowerMax Battery is 1 days late. Ordered on 10 April.,,Low,PowerMax Battery,order 27254 powermax battery 1 day late order 10 april
337,Payment problem for order #98036. Need urgent help.,Billing Problem,Low,RoboChef Blender,pay problem order 98036 need urgent help
338,Can't log in to mi account. Keeps showing reset required. Help!,Account Access,Medium,PowerMax Battery,cant log mi account keep show reset requir help
339,"Order #86000 for  is 5 days late. Ordered on 08 March. Also, I contacted support on 08 March but got no response.",Late Delivery,Medium,RoboChef Blender,order 86000 5 day late order 08 march also i contact support 08 march but got no response
340,I ordered PowerMax Battery but got RoboChef Blender instead. My order number is #40494.,Wrong Item,Medium,PowerMax Battery,i order powermax battery but got robochef blender instead my order number 40494
341,Want to know more about warranty.,General Inquiry,,SmartWatch V2,want know more about warranty
342,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in black?",General Inquiry,High,EcoBreeze AC,can you tell me more about ecobreeze ac warranty also available black
343,FitRun Treadmill is defective. It stopped working after just 4 days.,Product Defect,Medium,FitRun Treadmill,fitrun treadmill defect stopp work after just 4 day
344,Payment issue for my Vision LED TV. I was underbilled for order #81504.,Billing Problem,Low,Vision LED TV,pay issue my vision led tv i underbill order 81504
345,"Facing installation issue with PowerMax Battery. Setup fails at step 1. Also, I contacted support on 28 April but got no response.",,,PowerMax Battery,fac installation issue powermax battery setup fail step 1 also i contact support 28 april but got no response
346,I ordered SoundWave 300 but got PhotoSnap Cam instead. My order number is #40050.,Wrong Item,Low,SoundWave 300,i order soundwave 300 but got photosnap cam instead my order number 40050
347,"Facing installation issue with SoundWave 300. Setup fails at step 1. Also, I contacted support on 17 March but got no response.",Installation Issue,,SoundWave 300,fac installation issue soundwave 300 setup fail step 1 also i contact support 17 march but got no response
348,"Payment issue for my SmartWatch V2. I was charged twice for order #79609. Also, I contacted support on 30 April but got no response.",Billing Problem,High,SmartWatch V2,pay issue my smartwatch v2 i charg twice order 79609 also i contact support 30 april but got no response
349,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue?",General Inquiry,High,Vision LED TV,can you tell me more about vision led tv warranty also available blue
350,Facing installation issue with . Setup fails at step 5.,Installation Issue,High,SmartWatch V2,fac installation issue setup fail step 5
351,"Order #13937 for SmartWatch V2 is 2 days late. Ordered on 07 March. Also, I contacted support on 07 March but got no response.",Late Delivery,High,SmartWatch V2,order 13937 smartwatch v2 2 day late order 07 march also i contact support 07 march but got no response
352,"Can you tell me more about the  warranty? Also, is it available in black? Also, I contacted support on 22 April but got no response.",General Inquiry,High,SoundWave 300,can you tell me more about warranty also available black also i contact support 22 april but got no response
353,,Wrong Item,High,PowerMax Battery,nan
354,"Can't access my account. Also, I contacted support on 07 March but got no response.",Account Access,Low,PowerMax Battery,cant acces my account also i contact support 07 march but got no response
355,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,can you tell me more about smartwatch v2 warranty also available black
356,,Product Defect,Low,SoundWave 300,nan
357," is no response. It stopped working after just 6 days. Also, I contacted support on 22 March but got no response.",Product Defect,High,SmartWatch V2,no response stopp work after just 6 day also i contact support 22 march but got no response
358,Order #97716 fr RoboChef Blender is 4 days late. Ordered on 05 May.,Late Delivery,High,RoboChef Blender,order 97716 fr robochef blender 4 day late order 05 may
359,Payment issue for my PhotoSnap Cam. I was underbilled for order #49697.,Billing Problem,High,PhotoSnap Cam,pay issue my photosnap cam i underbill order 49697
360,Payment issue for my EcoBreeze AC. I was underbilled for order #20548.,Billing Problem,High,EcoBreeze AC,pay issue my ecobreeze ac i underbill order 20548
361,"Order #40777 placed on 08 April still not here. Also, I contacted support on 08 April but got no response.",Late Delivery,Low,RoboChef Blender,order 40777 plac 08 april still here also i contact support 08 april but got no response
362,Facing installation issue with FitRun Treadmill. Setup fails at step 2.,Installation Issue,,FitRun Treadmill,fac installation issue fitrun treadmill setup fail step 2
363,Facing installation issue with SoundWave 300. Setup fails at step 6.,Installation Issue,Low,SoundWave 300,fac installation issue soundwave 300 setup fail step 6
364,Payment issue for my . I was not refunded for order #83474. Delivery expected by 14 March.,Billing Problem,High,PowerMax Battery,pay issue my i refund order 83474 delivery expect 14 march
365,Can't log in to mi account. Keeps showing blocked. Help!,Account Access,Low,SmartWatch V2,cant log mi account keep show block help
366,Order #91046 for Vision LED TV is 7 days late. Ordered on 19 April.,Late Delivery,Low,Vision LED TV,order 91046 vision led tv 7 day late order 19 april
367,Facing installation issue with . Setup fails at step 6.,Installation Issue,High,UltraClean Vacuum,fac installation issue setup fail step 6
368,"Order #86799 for  is 3 days late. Ordered on 03 May. Also, I contacted support on 03 May but got no response.",Late Delivery,Medium,EcoBreeze AC,order 86799 3 day late order 03 may also i contact support 03 may but got no response
369,Facing installation issue with EcoBreeze AC. Setup fails at step 3.,Installation Issue,Medium,EcoBreeze AC,fac installation issue ecobreeze ac setup fail step 3
370,Facing installation issue with UltraClean Vacuum. Setup fails at step 4.,Installation Issue,High,UltraClean Vacuum,fac installation issue ultraclean vacuum setup fail step 4
371,,Account Access,Medium,SoundWave 300,nan
372,Payment issue for my . I was not refunded for order #88583.,Billing Problem,High,ProTab X1,pay issue my i refund order 88583
373,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in red?",General Inquiry,High,UltraClean Vacuum,can you tell me more about ultraclean vacuum warranty also available red
374,PowerMax Battery is broken. It stopped working after just 7 days.,Product Defect,Low,PowerMax Battery,powermax battery broken stopp work after just 7 day
375,Order #33197 for PhotoSnap Cam is 15 days late. Ordered on 28 March. Delivery expected by 28 March.,Late Delivery,Low,PhotoSnap Cam,order 33197 photosnap cam 15 day late order 28 march delivery expect 28 march
376,Facing installation issue with . Setup fails at step 1.,Installation Issue,Low,ProTab X1,fac installation issue setup fail step 1
377,Order #15130 for FitRun Treadmill is 13 days late. Ordered on 22 March.,Late Delivery,High,FitRun Treadmill,order 15130 fitrun treadmill 13 day late order 22 march
378,,Billing Problem,Low,FitRun Treadmill,nan
379,Payment problem for order #84187. Need urgent help. Delivery expected by 03 May.,Billing Problem,Medium,Vision LED TV,pay problem order 84187 need urgent help delivery expect 03 may
380,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white?",General Inquiry,Low,FitRun Treadmill,can you tell me more about fitrun treadmill warranty also available white
381,"Order #99634 for EcoBreeze AC is 15 days late. Ordered on 16 May. Also, I contacted support on 16 May but got no response. Delivery expected by 16 May.",,High,EcoBreeze AC,order 99634 ecobreeze ac 15 day late order 16 may also i contact support 16 may but got no response delivery expect 16 may
382,Payment issue for my . I was underbilled for order #84239.,Billing Problem,Low,Vision LED TV,pay issue my i underbill order 84239
383,"Payment issue for my UltraClean Vacuum. I was charged twice for order #53615. Also, I contacted support on 12 March but got no response. Delivery expected by 12 March.",Billing Problem,Medium,UltraClean Vacuum,pay issue my ultraclean vacuum i charg twice order 53615 also i contact support 12 march but got no response delivery expect 12 march
384,RoboChef Blender is stuck. It stopped working after just 6 days.,Product Defect,Low,RoboChef Blender,robochef blender stuck stopp work after just 6 day
385,"Can't log in to my account. Keeps showing unknown issue. Help! Also, I contacted support on 30 March but got no response.",Account Access,Medium,RoboChef Blender,cant log my account keep show unknown issue help also i contact support 30 march but got no response
386,Order #75955 for SmartWatch V2 is 5 days late. Ordered on 10 May.,Late Delivery,Medium,SmartWatch V2,order 75955 smartwatch v2 5 day late order 10 may
387,Facing installation issue with PhotoSnap Cam. Setup fails at step 2.,Installation Issue,Medium,PhotoSnap Cam,fac installation issue photosnap cam setup fail step 2
388,Order #61188 for  is 17 days late. Ordered on 05 March.,Late Delivery,Medium,UltraClean Vacuum,order 61188 17 day late order 05 march
389,RoboChef Blender is error. It stopped working after just 5 days.,,High,RoboChef Blender,robochef blender error stopp work after just 5 day
390,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in blue? Also, I contacted support on 02 April but got no response.",General Inquiry,Medium,FitRun Treadmill,can you tell me more about fitrun treadmill warranty also available blue also i contact support 02 april but got no response
391,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in white?",General Inquiry,Low,SmartWatch V2,can you tell me more about smartwatch v2 warranty also available white
392,"Received wrong product, order mixed up.",Wrong Item,Medium,FitRun Treadmill,receiv wrong product order mix up
